version,doi,B_COUNTRY,B_COUNTRY_ALPHA,C_COW_NUM,C_COW_ALPHA,A_YEAR,D_INTERVIEW,J_INTDATE,FW_END,FW_START,K_TIME_START,K_TIME_END,K_DURATION,Q_MODE,N_REGION_ISO,N_REGION_WVS,N_TOWN,G_TOWNSIZE,G_TOWNSIZE2,H_SETTLEMENT,H_URBRURAL,I_PSU,O1_LONGITUDE,O2_LATITUDE,S_INTLANGUAGE,LNGE_ISO,E_RESPINT,F_INTPRIVACY,E1_LITERACY,W_WEIGHT,S018,PWGHT,Y001,Y002,Y003,SACSECVAL,SACSECVALB,RESEMAVAL,RESEMAVALB,I_AUTHORITY,I_NATIONALISM,I_DEVOUT,DEFIANCE,I_RELIGIMP,I_RELIGBEL,I_RELIGPRAC,DISBELIEF,I_NORM1,I_NORM2,I_NORM3,RELATIVISM,I_TRUSTARMY,I_TRUSTPOLICE,I_TRUSTCOURTS,SCEPTICISM,I_INDEP,I_IMAGIN,I_NONOBED,AUTONOMY,I_WOMJOB,I_WOMPOL,I_WOMEDU,EQUALITY,I_HOMOLIB,I_ABORTLIB,I_DIVORLIB,CHOICE,I_VOICE1,I_VOICE2,I_VOI2_00,VOICE,SECVALWGT,WEIGHT1A,WEIGHT1B,WEIGHT2A,WEIGHT2B,WEIGHT3A,WEIGHT3B,WEIGHT4A,WEIGHT4B,RESEMAVALBWGT,RESEMAVALWGT,SECVALBWGT,Y001_1,Y001_2,Y001_3,Y001_4,Y001_5
1-5-0 (2020-11-16),doi.org/10.14281/18241.1,364,IRN,630,IRN,2020,364071162,20200325,202004,202003,20.01,22.1,129,2,364014,364003,364002,6,3,3,1,11986,52.64,31.16,3490,fa,2,1,1,1,0.6671114,3.81588,-2,2,1,0.2775,0.221667,0.570787,0.434074,0.5,0,0.33,0.276667,0,0,0.5,0.166667,1,0,1,0.666667,0,0,0,0,1,1,1,1,0.5,0.33,0.33,0.386667,0,0.444444,1,0.481481,0.33,0.5,0.415,0.415,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,-2
1-5-0 (2020-11-16),doi.org/10.14281/18241.1,364,IRN,630,IRN,2020,364071743,20200325,202004,202003,16.56,18.46,111,2,364014,364003,364002,6,3,3,1,11986,52.64,31.16,3490,fa,1,2,1,1,0.6671114,3.81588,2,2,-1,0.013889,0.027778,0.207917,0.166667,0,0,0,0,0,0,0.166667,0.055556,0,0,0,0,0,0,0,0,1,0,0,0.333333,0,0,1,0.333333,0,0,0,0,0.33,0,0.165,0.165,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1
1-5-0 (2020-11-16),doi.org/10.14281/18241.1,364,IRN,630,IRN,2020,364071765,20200324,202004,202003,18.53,20.07,74,2,364014,364003,364002,6,3,3,1,11986,52.64,31.16,3490,fa,1,1,1,1,0.6671114,3.81588,0,1,-1,0.166111,0.332222,0.055,0.11,1,0,0.33,0.443333,0.33,0,0.333333,0.221111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.66,0.22,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
1-5-0 (2020-11-16),doi.org/10.14281/18241.1,364,IRN,630,IRN,2020,364071786,20200324,202004,202003,20.21,22.29,128,2,364014,364003,364002,6,3,3,1,11986,52.64,31.16,3490,fa,2,1,1,1,0.6671114,3.81588,1,1,-1,0.041389,0.082778,0.083333,0,0,0,0.33,0.11,0,0,0.166667,0.055556,0,0,0,0,0,0,0,0,0,0,1,0.333333,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1
1-5-0 (2020-11-16),doi.org/10.14281/18241.1,364,IRN,630,IRN,2020,364071870,20200325,202004,202003,15.31,16.34,63,2,364014,364003,364002,6,3,3,1,11986,52.64,31.16,3490,fa,1,2,1,1,0.6671114,3.81588,1,1,0,0.096667,0.138333,0.316019,0.46537,0,0,0.33,0.11,0,0,0.5,0.166667,0,0,0,0,0,0,0.33,0.11,0,0,1,0.333333,0.25,0.66,0.66,0.523333,0,0.444444,0.777778,0.407407,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0
1-5-0 (2020-11-16),doi.org/10.14281/18241.1,364,IRN,630,IRN,2020,364072246,20200325,202004,202003,18.34,19.43,69,2,364014,364003,364002,6,3,3,1,11986,52.64,31.16,3490,fa,1,1,1,1,0.6671114,3.81588,3,2,0,0.319167,0.083333,0.325417,0.276667,0,0,0,0,0,0,0.5,0.166667,1,1,1,1,0,0,0.33,0.11,1,0,0,0.333333,0,0.66,1,0.553333,0,0,0,0,0.33,0.5,0.415,0.415,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1
1-5-0 (2020-11-16),doi.org/10.14281/18241.1,364,IRN,630,IRN,2020,364072288,20200324,202004,202003,22.04,23.44,100,2,364014,364003,364002,6,3,3,1,11986,52.64,31.16,3490,fa,1,1,1,1,0.6671114,3.81588,0,1,1,0.068889,0.027778,0.231204,0.129074,0,0,0,0,0,0,0.166667,0.055556,0,0,0,0,0,0.33,0.33,0.22,1,0,1,0.666667,0,0,0.33,0.11,0,0,0.444444,0.148148,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
1-5-0 (2020-11-16),doi.org/10.14281/18241.1,364,IRN,630,IRN,2020,364072512,20200324,202004,202003,17.29,18.41,72,2,364014,364003,364002,6,3,3,1,11986,52.64,31.16,3490,fa,1,1,1,1,0.6671114,3.81588,2,2,-1,0.124167,0.138333,0.325417,0.401667,0,0,0.33,0.11,0,0,0.5,0.166667,0,0,0,0,0,0,0.66,0.22,1,0,0,0.333333,0.75,0.66,1,0.803333,0,0,0,0,0.33,0,0.165,0.165,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0
1-5-0 (2020-11-16),doi.org/10.14281/18241.1,364,IRN,630,IRN,2020,364072552,20200325,202004,202003,22.15,23.4,85,2,364014,364003,364002,6,3,3,1,11986,52.64,31.16,3490,fa,1,2,1,1,0.6671114,3.81588,1,2,0,0.221667,0.166667,0.207917,0,0.5,0,0,0.166667,0,0,0.5,0.166667,1,0,0,0.333333,0,0.33,0.33,0.22,0,1,1,0.666667,0,0,0,0,0,0,0,0,0.33,0,0.165,0.165,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0
1-5-0 (2020-11-16),doi.org/10.14281/18241.1,364,IRN,630,IRN,2020,364072560,20200324,202004,202003,15.58,17.19,81,2,364014,364003,364002,6,3,3,1,11986,52.64,31.16,3490,fa,1,2,1,1,0.6671114,3.81588,1,1,0,0.304722,0.111111,0.110833,0.055,0.5,0,0,0.166667,0,0,0.166667,0.055556,1,1,0,0.666667,0.33,0.33,0.33,0.33,0,0,1,0.333333,0,0,0.33,0.11,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1
